GID	Pathway	Pathway_Name	Pathway_Class	Pathway_Subclass
403	Cchi00532	ko04210	Apoptosis	Cellular Processes	Cell growth and death
404	Cchi00532	ko04214	Apoptosis - fly	Cellular Processes	Cell growth and death
405	Cchi00532	ko04310	Wnt signaling pathway	Environmental Information Processing	Signal transduction
406	Cchi00532	ko04380	Osteoclast differentiation	Organismal Systems	Development
407	Cchi00532	ko04510	Focal adhesion	Cellular Processes	Cellular community - eukaryotes
408	Cchi00532	ko04530	Tight junction	Cellular Processes	Cellular community - eukaryotes
409	Cchi00532	ko04620	Toll-like receptor signaling pathway	Organismal Systems	Immune system
410	Cchi00532	ko04621	NOD-like receptor signaling pathway	Organismal Systems	Immune system
411	Cchi00532	ko04624	Toll and Imd signaling pathway	Organismal Systems	Immune system
412	Cchi00532	ko04657	IL-17 signaling pathway	Organismal Systems	Immune system
413	Cchi00532	ko04658	Th1 and Th2 cell differentiation	Organismal Systems	Immune system
414	Cchi00532	ko04659	Th17 cell differentiation	Organismal Systems	Immune system
415	Cchi00532	ko04660	T cell receptor signaling pathway	Organismal Systems	Immune system
416	Cchi00532	ko04662	B cell receptor signaling pathway	Organismal Systems	Immune system
417	Cchi00532	ko04668	TNF signaling pathway	Environmental Information Processing	Signal transduction
418	Cchi00532	ko04722	Neurotrophin signaling pathway	Organismal Systems	Nervous system
419	Cchi00532	ko04912	GnRH signaling pathway	Organismal Systems	Endocrine system
420	Cchi00532	ko04915	Estrogen signaling pathway	Organismal Systems	Endocrine system
421	Cchi00532	ko04921	Oxytocin signaling pathway	Organismal Systems	Endocrine system
422	Cchi00532	ko04926	Relaxin signaling pathway	Organismal Systems	Endocrine system
448	Cchi00533	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
449	Cchi00533	ko04012	ErbB signaling pathway	Environmental Information Processing	Signal transduction
450	Cchi00533	ko04013	MAPK signaling pathway - fly	Environmental Information Processing	Signal transduction
451	Cchi00533	ko04024	cAMP signaling pathway	Environmental Information Processing	Signal transduction
452	Cchi00533	ko04137	Mitophagy - animal	Cellular Processes	Transport and catabolism
453	Cchi00533	ko04210	Apoptosis	Cellular Processes	Cell growth and death
454	Cchi00533	ko04214	Apoptosis - fly	Cellular Processes	Cell growth and death
455	Cchi00533	ko04310	Wnt signaling pathway	Environmental Information Processing	Signal transduction
456	Cchi00533	ko04380	Osteoclast differentiation	Organismal Systems	Development
457	Cchi00533	ko04510	Focal adhesion	Cellular Processes	Cellular community - eukaryotes
458	Cchi00533	ko04530	Tight junction	Cellular Processes	Cellular community - eukaryotes
459	Cchi00533	ko04620	Toll-like receptor signaling pathway	Organismal Systems	Immune system
460	Cchi00533	ko04621	NOD-like receptor signaling pathway	Organismal Systems	Immune system
461	Cchi00533	ko04624	Toll and Imd signaling pathway	Organismal Systems	Immune system
462	Cchi00533	ko04657	IL-17 signaling pathway	Organismal Systems	Immune system
463	Cchi00533	ko04658	Th1 and Th2 cell differentiation	Organismal Systems	Immune system
464	Cchi00533	ko04659	Th17 cell differentiation	Organismal Systems	Immune system
465	Cchi00533	ko04660	T cell receptor signaling pathway	Organismal Systems	Immune system
466	Cchi00533	ko04662	B cell receptor signaling pathway	Organismal Systems	Immune system
467	Cchi00533	ko04668	TNF signaling pathway	Environmental Information Processing	Signal transduction
468	Cchi00533	ko04722	Neurotrophin signaling pathway	Organismal Systems	Nervous system
469	Cchi00533	ko04912	GnRH signaling pathway	Organismal Systems	Endocrine system
470	Cchi00533	ko04915	Estrogen signaling pathway	Organismal Systems	Endocrine system
471	Cchi00533	ko04921	Oxytocin signaling pathway	Organismal Systems	Endocrine system
472	Cchi00533	ko04926	Relaxin signaling pathway	Organismal Systems	Endocrine system
497	Cchi00535	ko04140	Autophagy - animal	Cellular Processes	Transport and catabolism
498	Cchi00535	ko04142	Lysosome	Cellular Processes	Transport and catabolism
499	Cchi00535	ko04145	Phagosome	Cellular Processes	Transport and catabolism
500	Cchi00535	ko04210	Apoptosis	Cellular Processes	Cell growth and death
501	Cchi00535	ko04612	Antigen processing and presentation	Organismal Systems	Immune system
505	Cchi00536	ko02010	ABC transporters	Environmental Information Processing	Membrane transport
507	Cchi00542	ko00052	Galactose metabolism	Metabolism	Carbohydrate metabolism
508	Cchi00542	ko00510	N-Glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
509	Cchi00542	ko00513	Various types of N-glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
510	Cchi00542	ko00514	Other types of O-glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
511	Cchi00542	ko00515	Mannose type O-glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
512	Cchi00542	ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	Metabolism	Glycan biosynthesis and metabolism
513	Cchi00542	ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	Metabolism	Glycan biosynthesis and metabolism
514	Cchi00545	ko04010	MAPK signaling pathway	Environmental Information Processing	Signal transduction
515	Cchi00545	ko04020	Calcium signaling pathway	Environmental Information Processing	Signal transduction
516	Cchi00545	ko04022	cGMP-PKG signaling pathway	Environmental Information Processing	Signal transduction
517	Cchi00545	ko04114	Oocyte meiosis	Cellular Processes	Cell growth and death
518	Cchi00545	ko04218	Cellular senescence	Cellular Processes	Cell growth and death
519	Cchi00545	ko04310	Wnt signaling pathway	Environmental Information Processing	Signal transduction
520	Cchi00545	ko04360	Axon guidance	Organismal Systems	Development
521	Cchi00545	ko04370	VEGF signaling pathway	Environmental Information Processing	Signal transduction
522	Cchi00545	ko04380	Osteoclast differentiation	Organismal Systems	Development
523	Cchi00545	ko04650	Natural killer cell mediated cytotoxicity	Organismal Systems	Immune system
524	Cchi00545	ko04658	Th1 and Th2 cell differentiation	Organismal Systems	Immune system
525	Cchi00545	ko04659	Th17 cell differentiation	Organismal Systems	Immune system
526	Cchi00545	ko04660	T cell receptor signaling pathway	Organismal Systems	Immune system
527	Cchi00545	ko04662	B cell receptor signaling pathway	Organismal Systems	Immune system
528	Cchi00545	ko04720	Long-term potentiation	Organismal Systems	Nervous system
529	Cchi00545	ko04724	Glutamatergic synapse	Organismal Systems	Nervous system
530	Cchi00545	ko04728	Dopaminergic synapse	Organismal Systems	Nervous system
531	Cchi00545	ko04921	Oxytocin signaling pathway	Organismal Systems	Endocrine system
532	Cchi00545	ko04922	Glucagon signaling pathway	Organismal Systems	Endocrine system
533	Cchi00545	ko04924	Renin secretion	Organismal Systems	Endocrine system
540	Cchi00546	ko00260	Glycine, serine and threonine metabolism	Metabolism	Amino acid metabolism
541	Cchi00546	ko00270	Cysteine and methionine metabolism	Metabolism	Amino acid metabolism
542	Cchi00546	ko00450	Selenocompound metabolism	Metabolism	Metabolism of other amino acids
543	Cchi00547	ko00260	Glycine, serine and threonine metabolism	Metabolism	Amino acid metabolism
544	Cchi00547	ko00270	Cysteine and methionine metabolism	Metabolism	Amino acid metabolism
545	Cchi00547	ko00450	Selenocompound metabolism	Metabolism	Metabolism of other amino acids
546	Cchi00548	ko00260	Glycine, serine and threonine metabolism	Metabolism	Amino acid metabolism
547	Cchi00548	ko00270	Cysteine and methionine metabolism	Metabolism	Amino acid metabolism
548	Cchi00548	ko00450	Selenocompound metabolism	Metabolism	Metabolism of other amino acids
549	Cchi00556	ko04080	Neuroactive ligand-receptor interaction	Environmental Information Processing	Signaling molecules and interaction
550	Cchi00558	ko04962	Vasopressin-regulated water reabsorption	Organismal Systems	Excretory system
552	Cchi00560	ko00310	Lysine degradation	Metabolism	Amino acid metabolism
553	Cchi00576	ko04015	Rap1 signaling pathway	Environmental Information Processing	Signal transduction
554	Cchi00577	ko00330	Arginine and proline metabolism	Metabolism	Amino acid metabolism
555	Cchi00578	ko00330	Arginine and proline metabolism	Metabolism	Amino acid metabolism
556	Cchi00581	ko03022	Basal transcription factors	Genetic Information Processing	Transcription
558	Cchi00584	ko00510	N-Glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
559	Cchi00584	ko00513	Various types of N-glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
560	Cchi00584	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
561	Cchi00585	ko00073	Cutin, suberine and wax biosynthesis	Metabolism	Lipid metabolism
562	Cchi00585	ko04146	Peroxisome	Cellular Processes	Transport and catabolism
563	Cchi00585	ko04212	Longevity regulating pathway - worm	Organismal Systems	Aging
564	Cchi00586	ko00073	Cutin, suberine and wax biosynthesis	Metabolism	Lipid metabolism
565	Cchi00586	ko04146	Peroxisome	Cellular Processes	Transport and catabolism
566	Cchi00586	ko04212	Longevity regulating pathway - worm	Organismal Systems	Aging
567	Cchi00591	ko03050	Proteasome	Genetic Information Processing	Folding, sorting and degradation
568	Cchi00594	ko04310	Wnt signaling pathway	Environmental Information Processing	Signal transduction
569	Cchi00594	ko04340	Hedgehog signaling pathway	Environmental Information Processing	Signal transduction
570	Cchi00594	ko04341	Hedgehog signaling pathway - fly	Environmental Information Processing	Signal transduction
575	Cchi00596	ko00020	Citrate cycle (TCA cycle)	Metabolism	Carbohydrate metabolism
576	Cchi00604	ko03008	Ribosome biogenesis in eukaryotes	Genetic Information Processing	Translation
577	Cchi00604	ko03018	RNA degradation	Genetic Information Processing	Folding, sorting and degradation
578	Cchi00605	ko04212	Longevity regulating pathway - worm	Organismal Systems	Aging
579	Cchi00606	ko00230	Purine metabolism	Metabolism	Nucleotide metabolism
580	Cchi00607	ko04721	Synaptic vesicle cycle	Organismal Systems	Nervous system
581	Cchi00607	ko04726	Serotonergic synapse	Organismal Systems	Nervous system
582	Cchi00607	ko04728	Dopaminergic synapse	Organismal Systems	Nervous system
587	Cchi00608	ko04062	Chemokine signaling pathway	Organismal Systems	Immune system
588	Cchi00608	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
589	Cchi00608	ko04341	Hedgehog signaling pathway - fly	Environmental Information Processing	Signal transduction
591	Cchi00613	ko03010	Ribosome	Genetic Information Processing	Translation
592	Cchi00623	ko04144	Endocytosis	Cellular Processes	Transport and catabolism
593	Cchi00627	ko00030	Pentose phosphate pathway	Metabolism	Carbohydrate metabolism
594	Cchi00627	ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
595	Cchi00627	ko00710	Carbon fixation in photosynthetic organisms	Metabolism	Energy metabolism
596	Cchi00629	ko03013	RNA transport	Genetic Information Processing	Translation
598	Cchi00638	ko00670	One carbon pool by folate	Metabolism	Metabolism of cofactors and vitamins
599	Cchi00638	ko00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing	Translation
600	Cchi00644	ko00562	Inositol phosphate metabolism	Metabolism	Carbohydrate metabolism
601	Cchi00644	ko04020	Calcium signaling pathway	Environmental Information Processing	Signal transduction
602	Cchi00644	ko04070	Phosphatidylinositol signaling system	Environmental Information Processing	Signal transduction
603	Cchi00645	ko00310	Lysine degradation	Metabolism	Amino acid metabolism
604	Cchi00649	ko00010	Glycolysis / Gluconeogenesis	Metabolism	Carbohydrate metabolism
605	Cchi00649	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
606	Cchi00649	ko00071	Fatty acid degradation	Metabolism	Lipid metabolism
607	Cchi00649	ko00260	Glycine, serine and threonine metabolism	Metabolism	Amino acid metabolism
608	Cchi00649	ko00280	Valine, leucine and isoleucine degradation	Metabolism	Amino acid metabolism
609	Cchi00649	ko00310	Lysine degradation	Metabolism	Amino acid metabolism
610	Cchi00649	ko00330	Arginine and proline metabolism	Metabolism	Amino acid metabolism
611	Cchi00649	ko00340	Histidine metabolism	Metabolism	Amino acid metabolism
612	Cchi00649	ko00380	Tryptophan metabolism	Metabolism	Amino acid metabolism
613	Cchi00649	ko00410	beta-Alanine metabolism	Metabolism	Metabolism of other amino acids
614	Cchi00649	ko00561	Glycerolipid metabolism	Metabolism	Lipid metabolism
615	Cchi00649	ko00620	Pyruvate metabolism	Metabolism	Carbohydrate metabolism
616	Cchi00650	ko00010	Glycolysis / Gluconeogenesis	Metabolism	Carbohydrate metabolism
617	Cchi00650	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
618	Cchi00650	ko00071	Fatty acid degradation	Metabolism	Lipid metabolism
619	Cchi00650	ko00260	Glycine, serine and threonine metabolism	Metabolism	Amino acid metabolism
620	Cchi00650	ko00280	Valine, leucine and isoleucine degradation	Metabolism	Amino acid metabolism
621	Cchi00650	ko00310	Lysine degradation	Metabolism	Amino acid metabolism
622	Cchi00650	ko00330	Arginine and proline metabolism	Metabolism	Amino acid metabolism
623	Cchi00650	ko00340	Histidine metabolism	Metabolism	Amino acid metabolism
624	Cchi00650	ko00380	Tryptophan metabolism	Metabolism	Amino acid metabolism
625	Cchi00650	ko00410	beta-Alanine metabolism	Metabolism	Metabolism of other amino acids
626	Cchi00650	ko00561	Glycerolipid metabolism	Metabolism	Lipid metabolism
627	Cchi00650	ko00620	Pyruvate metabolism	Metabolism	Carbohydrate metabolism
628	Cchi00653	ko04062	Chemokine signaling pathway	Organismal Systems	Immune system
629	Cchi00653	ko04370	VEGF signaling pathway	Environmental Information Processing	Signal transduction
630	Cchi00653	ko04510	Focal adhesion	Cellular Processes	Cellular community - eukaryotes
631	Cchi00653	ko04670	Leukocyte transendothelial migration	Organismal Systems	Immune system
632	Cchi00653	ko04810	Regulation of actin cytoskeleton	Cellular Processes	Cell motility
637	Cchi00658	ko00040	Pentose and glucuronate interconversions	Metabolism	Carbohydrate metabolism
638	Cchi00658	ko00053	Ascorbate and aldarate metabolism	Metabolism	Carbohydrate metabolism
639	Cchi00658	ko00140	Steroid hormone biosynthesis	Metabolism	Lipid metabolism
640	Cchi00658	ko00830	Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins
641	Cchi00658	ko00860	Porphyrin and chlorophyll metabolism	Metabolism	Metabolism of cofactors and vitamins
642	Cchi00658	ko00980	Metabolism of xenobiotics by cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
643	Cchi00658	ko00982	Drug metabolism - cytochrome P450	Metabolism	Xenobiotics biodegradation and metabolism
644	Cchi00658	ko00983	Drug metabolism - other enzymes	Metabolism	Xenobiotics biodegradation and metabolism
646	Cchi00667	ko04330	Notch signaling pathway	Environmental Information Processing	Signal transduction
647	Cchi00668	ko04120	Ubiquitin mediated proteolysis	Genetic Information Processing	Folding, sorting and degradation
648	Cchi00668	ko04137	Mitophagy - animal	Cellular Processes	Transport and catabolism
649	Cchi00668	ko04141	Protein processing in endoplasmic reticulum	Genetic Information Processing	Folding, sorting and degradation
652	Cchi00686	ko00510	N-Glycan biosynthesis	Metabolism	Glycan biosynthesis and metabolism
653	Cchi00698	ko00970	Aminoacyl-tRNA biosynthesis	Genetic Information Processing	Translation
654	Cchi00701	ko03040	Spliceosome	Genetic Information Processing	Transcription
655	Cchi00702	ko00230	Purine metabolism	Metabolism	Nucleotide metabolism
656	Cchi00702	ko00730	Thiamine metabolism	Metabolism	Metabolism of cofactors and vitamins
